item_id,quality,level,trait,variant,avg,max,min,entry_count,amount_count,suggested_price,sale_avg,sale_entry_count,sale_amount_count
1,0,3,-1,2|6,32.1,100,3,8,10,,,,
10,1,210,11,3,174,174,174,2,2,,,,
10,1,210,5,3,420.57,500,222,7,7,,,,
10,1,210,9,3,333.5,490,177,4,4,,,,
10,2,210,10,3,3393.33,5000,180,3,3,,180,1,1
10,2,210,11,3,1040,2180,180,8,8,,,,
10,2,210,12,3,310,500,120,2,2,,120,1,1
10,2,210,8,3,446.62,999,180,13,13,293.85,180,1,1
10,2,210,9,3,180,180,180,1,1,,,,
10,2,22,11,3,222,222,222,4,4,,,,
10,3,210,10,3,1000,1000,1000,1,1,,,,
10,3,210,12,3,800,800,800,1,1,,,,
10,3,210,13,3,3366.5,3400,3333,2,2,,,,
10,3,210,5,3,2499.6,3999,1500,5,5,,,,
10,3,210,8,3,791.43,800,785,7,7,,,,
10001,1,210,18,,511.67,1400,200,30,30,258.75,284.71,7,7
10001,2,210,18,,521.97,1500,225,34,34,325.45,313.8,5,5
10001,3,210,18,,3387.39,12000,650,23,23,1030,1020,5,5
10001,4,210,18,,33375,34500,30000,4,4,,,,
10003,1,10,3,,1000,1000,1000,1,1,,,,
10003,1,210,3,,774.38,1241,299,8,8,,561.5,2,2
10004,2,210,19,,7277.71,10000,2100,14,14,5556.24,,,
10005,1,210,1,,995,1500,490,2,2,,,,
10006,1,210,10,4,400,400,400,1,1,,,,
10006,1,210,11,4,274,274,274,1,1,,,,
10006,1,210,5,4,200,200,200,2,2,,,,
10006,2,210,10,4,880,1000,400,5,5,,,,
10006,2,210,11,4,120,120,120,1,1,,,,
10006,2,210,5,4,78,78,78,1,1,,,,
10006,2,210,8,4,950,950,950,3,3,,,,
10006,2,210,9,4,777,777,777,1,1,,,,
10006,3,210,10,4,639,999,99,5,5,,,,
10006,3,210,3,4,500,500,500,1,1,,,,
10006,3,43,13,4,500,500,500,3,3,,,,
10007,3,1,-1,,10469.51,25000,6900,95,95,7411.78,8193.73,15,15
10008,1,210,17,,554.83,1500,140,12,12,345.42,310.2,5,5
10008,1,210,18,,347.33,1000,90,18,18,145.41,271,8,8
10008,1,210,19,,233.67,399,140,12,12,150.48,207.6,5,5
10008,1,37,19,,34,34,34,1,1,,,,
10008,2,210,17,,489.84,1100,125,68,68,290.1,362.57,14,14
10008,2,210,18,,2195.62,32800,149,123,123,335.88,274.15,26,26
10008,2,210,19,,407.55,1050,149,85,85,266.72,290.07,15,15
10008,2,210,24,,2819.94,20000,150,35,35,422.36,518.22,23,23
10008,2,38,18,,1000,1000,1000,4,4,,,,
10008,3,210,17,,2062.65,5500,500,34,34,706.29,597.42,12,12
10008,3,210,18,,2297.97,20000,500,92,92,783.66,625.41,32,32
