item_id,quality,level,trait,variant,avg,max,min,entry_count,amount_count,suggested_price,sale_avg,sale_entry_count,sale_amount_count
1,0,3,-1,2|6,3,3,3,1,1,,,,
10,2,210,10,3,533.33,600,400,3,3,,,,
10,2,210,11,3,180,180,180,1,1,,,,
10,2,210,3,3,1467.8,2222,965,5,5,,,,
10,2,210,8,3,560,1000,260,5,5,,,,
10,2,210,9,3,500,500,500,2,2,,,,
10,3,210,10,3,4500,5000,4000,2,2,,,,
10,3,210,11,3,3000,3000,3000,1,1,,,,
10,3,210,13,3,4599.33,6999,1999,3,3,,,,
10,3,210,8,3,500,500,500,2,2,,,,
10,3,210,9,3,1500,1500,1500,1,1,,,,
10001,1,210,18,,1681.8,6666,144,10,10,452.25,,,
10001,2,210,18,,493.33,2000,250,15,15,297.45,297,5,5
10001,2,25,18,,456,456,456,3,3,,,,
10001,3,120,18,,300,300,300,1,1,,,,
10001,3,210,18,,6444.21,30000,810,14,14,919.98,599,1,1
10001,4,210,18,,80000,100000,50000,5,5,,,,
10003,1,210,3,,800,800,800,1,1,,,,
10003,4,210,3,,60000,60000,60000,1,1,,,,
10004,2,210,19,,900,900,900,1,1,,,,
10005,1,210,1,,420,450,390,2,2,,,,
10006,1,210,13,4,700,700,700,1,1,,,,
10006,1,210,3,4,315,490,140,2,2,,,,
10006,2,210,10,4,800,800,800,1,1,,,,
10006,2,210,5,4,1890,1890,1890,2,2,,,,
10006,2,210,8,4,400,400,400,3,3,,,,
10006,3,210,10,4,1000,1000,1000,1,1,,,,
10006,3,210,11,4,2183,2183,2183,1,1,,,,
10006,3,210,12,4,1000,1000,1000,1,1,,,,
10006,3,210,13,4,1899,1899,1899,2,2,,,,
10007,3,1,-1,,14902.77,22000,10000,13,13,11077.35,13120.08,13,13
10008,1,210,17,,910.29,2300,120,7,7,,,,
10008,1,210,18,,288.33,500,124,6,6,,172,2,2
10008,1,210,19,,547.88,1000,100,8,8,,,,
10008,2,160,17,,965.67,1199,499,3,3,,,,
10008,2,20,18,,169,169,169,1,1,,,,
10008,2,210,17,,514.32,3900,90,56,56,273.23,258,11,11
10008,2,210,18,,687.51,3150,100,68,68,317.57,309.8,15,15
10008,2,210,19,,346.58,699,100,43,43,248.08,265,7,7
10008,2,210,24,,660.13,2100,130,23,23,172.3,176.08,12,12
10008,2,26,19,,150,150,150,1,1,,,,
10008,2,48,24,,111,111,111,1,1,,111,1,1
10008,3,210,17,,1987.24,5500,700,25,25,788.85,789.57,7,7
10008,3,210,18,,2227.62,33333,500,116,116,731.17,679.76,45,45
10008,3,210,19,,2254.33,9999,120,18,18,763.46,806.33,6,6
10008,4,210,18,,146200,149000,135000,5,5,,,,
10008,4,210,19,,112221.7,115555,105555,3,3,,,,
1001,2,210,-1,,226.7,1030,30,33,33,101.57,151.69,13,13
1001,3,210,-1,,545.64,2999,350,123,123,327.09,412.67,81,81
1001,4,210,-1,,27445.56,900000,1200,344,344,1986.46,2246.71,184,184
10010,1,210,17,,540.67,2000,227,6,6,,190.25,4,4
10010,2,210,17,,522.27,1150,150,11,11,287.1,246.67,3,3
10010,3,210,17,,1787.71,7000,770,7,7,,832.5,2,2
10010,4,210,17,,69000,69000,69000,1,1,,,,
10011,1,210,11,3,372.5,450,295,2,2,,,,
10014,1,210,11,2,700,700,700,1,1,,,,
10014,1,210,12,2,643,1086,200,4,4,,,,
10014,1,210,13,2,2300,2300,2300,1,1,,,,
10014,2,210,10,2,160,160,160,2,2,,,,
10014,2,210,11,2,500,500,500,2,2,,,,
10014,2,210,13,2,27749.5,85000,2999,4,4,,,,
10014,2,210,3,2,799.67,1000,500,6,6,,90,1,1
10014,2,210,8,2,200,200,200,1,1,,,,
10014,2,210,9,2,50370.33,75000,1111,3,3,,,,
10014,3,210,12,2,1425,1650,975,5,5,,,,
10014,3,210,13,2,1200,1200,1200,1,1,,,,
10014,3,210,3,2,4999,4999,4999,1,1,,,,
10014,3,210,8,2,1000,1000,1000,3,3,,,,
10014,3,210,9,2,1149,1999,299,2,2,,554.5,2,2
10015,1,210,17,,533.33,950,150,3,3,,,,
10015,1,210,18,,240.2,599,144,5,5,,159.5,4,4
10015,1,210,19,,946.33,3200,144,9,9,,,,
10015,1,90,19,,500,500,500,1,1,,,,
10015,2,20,17,,169,169,169,1,1,,,,
10015,2,20,18,,99,99,99,1,1,,,,
10015,2,210,17,,459.63,1200,150,24,24,334.26,350.86,7,7
10015,2,210,18,,710.21,3900,100,72,72,270.22,248.63,16,16
10015,2,210,19,,515.6,1200,100,10,10,229.28,204.4,5,5
10015,2,26,18,,250,250,250,1,1,,,,
10015,2,48,18,,111,111,111,2,2,,,,
10015,2,90,19,,600,600,600,2,2,,,,
10015,3,210,17,,1231.58,5000,120,19,19,821.48,,,
10015,3,210,18,,1072.64,2777,500,77,77,738.46,685.73,33,33
10015,3,210,19,,2239.27,9999,666,22,22,920,1033.33,3,3
10015,3,48,18,,1200,1200,1200,2,2,,,,
10015,4,210,17,,66666,66666,66666,1,1,,,,
10015,4,210,18,,199000,199000,199000,1,1,,,,
10015,4,210,19,,78000,149000,35000,3,3,,,,
10017,2,210,11,4,406.2,700,170,10,10,178.2,,,
10017,3,210,11,4,1000,1000,1000,3,3,,,,
10018,1,210,17,,520.5,541,500,2,2,,,,
10020,1,210,13,4,1000,1000,1000,1,1,,,,
10020,3,210,13,4,800,800,800,1,1,,,,
10021,1,210,12,4,869.13,1300,80,8,8,,80,1,1
10025,1,210,6,,967.5,1085,850,2,2,,,,
10027,1,210,10,2,499,499,499,1,1,,,,
10027,1,210,12,2,144,144,144,1,1,,,,
10027,1,210,13,2,144,144,144,1,1,,,,
10027,2,210,10,2,649.5,699,600,2,2,,,,
10027,2,210,11,2,1703.33,2222,666,3,3,,,,
10027,2,210,12,2,471,710,232,4,4,,,,
10027,2,210,3,2,612,612,612,1,1,,,,
10027,2,210,5,2,300,300,300,2,2,,,,
10027,2,210,8,2,800,800,800,2,2,,,,
10027,3,210,12,2,550,550,550,1,1,,,,
